,Dimensions,constructionTime,searchTime
0,4,0.03125,0.0
1,4,0.03125,0.015625
2,4,0.03125,0.0
3,4,0.03125,0.0
4,4,0.03125,0.0
5,8,0.0625,0.015625
6,8,0.0625,0.015625
7,8,0.0625,0.015625
8,8,0.0625,0.015625
9,8,0.078125,0.015625
10,12,0.078125,0.0625
11,12,0.078125,0.03125
12,12,0.078125,0.0625
13,12,0.078125,0.046875
14,12,0.078125,0.03125
15,16,0.09375,0.0625
16,16,0.09375,0.078125
17,16,0.09375,0.078125
18,16,0.09375,0.078125
19,16,0.09375,0.078125
20,20,0.140625,0.0625
21,20,0.125,0.0625
22,20,0.109375,0.046875
23,20,0.125,0.109375
24,20,0.09375,0.078125
25,24,0.125,0.109375
26,24,0.140625,0.078125
27,24,0.140625,0.078125
28,24,0.125,0.09375
29,24,0.125,0.109375
30,28,0.140625,0.109375
31,28,0.15625,0.09375
32,28,0.140625,0.109375
33,28,0.15625,0.109375
34,28,0.15625,0.109375
35,32,0.171875,0.125
36,32,0.1875,0.125
37,32,0.15625,0.125
38,32,0.171875,0.109375
39,32,0.171875,0.109375
40,36,0.1875,0.140625
41,36,0.1875,0.140625
42,36,0.203125,0.171875
43,36,0.203125,0.1875
44,36,0.1875,0.171875
45,40,0.21875,0.15625
46,40,0.203125,0.171875
47,40,0.21875,0.171875
48,40,0.203125,0.171875
49,40,0.203125,0.171875
50,44,0.265625,0.203125
51,44,0.25,0.171875
52,44,0.3125,0.21875
53,44,0.234375,0.171875
54,44,0.359375,0.1875
55,48,0.296875,0.1875
56,48,0.3125,0.234375
57,48,0.28125,0.203125
58,48,0.25,0.21875
59,48,0.25,0.1875
60,52,0.265625,0.203125
61,52,0.265625,0.1875
62,52,0.265625,0.203125
63,52,0.265625,0.21875
64,52,0.25,0.21875
65,56,0.28125,0.21875
66,56,0.296875,0.21875
67,56,0.28125,0.203125
68,56,0.265625,0.21875
69,56,0.296875,0.25
70,60,0.3125,0.234375
71,60,0.296875,0.21875
72,60,0.28125,0.234375
73,60,0.3125,0.234375
74,60,0.296875,0.21875
75,64,0.328125,0.265625
76,64,0.34375,0.234375
77,64,0.34375,0.25
78,64,0.34375,0.234375
79,64,0.328125,0.25
80,68,0.390625,0.296875
81,68,0.34375,0.28125
82,68,0.328125,0.265625
83,68,0.328125,0.265625
84,68,0.359375,0.265625
85,72,0.34375,0.3125
86,72,0.34375,0.265625
87,72,0.375,0.265625
88,72,0.34375,0.296875
89,72,0.34375,0.265625
90,76,0.4375,0.328125
91,76,0.359375,0.28125
92,76,0.359375,0.296875
93,76,0.359375,0.3125
94,76,0.390625,0.296875
95,80,0.390625,0.3125
96,80,0.390625,0.296875
97,80,0.375,0.3125
98,80,0.390625,0.296875
99,80,0.453125,0.34375
100,84,0.40625,0.328125
101,84,0.421875,0.3125
102,84,0.421875,0.3125
103,84,0.40625,0.328125
104,84,0.40625,0.3125
105,88,0.421875,0.328125
106,88,0.4375,0.328125
107,88,0.484375,0.34375
108,88,0.421875,0.3125
109,88,0.453125,0.3125
110,92,0.453125,0.328125
111,92,0.46875,0.328125
112,92,0.453125,0.328125
113,92,0.4375,0.359375
114,92,0.46875,0.359375
115,96,0.515625,0.359375
116,96,0.484375,0.328125
117,96,0.46875,0.359375
118,96,0.46875,0.328125
119,96,0.46875,0.328125
120,100,0.484375,0.359375
121,100,0.484375,0.34375
122,100,0.578125,0.375
123,100,0.484375,0.34375
124,100,0.484375,0.359375
0,100,0.5,0.359375
1,100,0.5,0.34375
2,100,0.484375,0.359375
3,100,0.484375,0.359375
4,100,0.53125,0.390625
5,104,0.53125,0.359375
6,104,0.515625,0.34375
7,104,0.5,0.359375
8,104,0.5,0.359375
9,104,0.515625,0.359375
10,108,0.53125,0.375
11,108,0.609375,0.390625
12,108,0.515625,0.390625
13,108,0.546875,0.359375
14,108,0.53125,0.359375
15,112,0.5625,0.375
16,112,0.546875,0.390625
17,112,0.546875,0.390625
18,112,0.65625,0.375
19,112,0.546875,0.375
20,116,0.5625,0.390625
21,116,0.625,0.421875
22,116,0.578125,0.390625
23,116,0.5625,0.375
24,116,0.640625,0.421875
25,120,0.578125,0.375
26,120,0.578125,0.40625
27,120,0.578125,0.390625
28,120,0.578125,0.40625
29,120,0.578125,0.390625
30,124,0.640625,0.40625
31,124,0.609375,0.40625
32,124,0.625,0.40625
33,124,0.609375,0.40625
34,124,0.609375,0.390625
35,128,0.703125,0.421875
36,128,0.6875,0.390625
37,128,0.6875,0.40625
38,128,0.6875,0.390625
39,128,0.6875,0.390625
