	algorithm	avgDistance	constructionClocks	constructionTime	numTreesParam	recall	searchClocks	searchKparam	searchTime
0	Annoy-trees-1	342.0236649672913	0.41955260000000294	0.40625	1	0.2764	0.009591900000003761	80	0.015625
1	Annoy-trees-1	338.4516696534248	0.46398099999998976	0.46875	1	0.2979	0.010149699999999484	90	0.0
2	Annoy-trees-1	332.8232023033142	0.5465255000000013	0.546875	1	0.3412	0.010970700000001443	110	0.015625
3	Annoy-trees-1	328.788492301178	0.44201989999999114	0.4375	1	0.3716	0.01377389999998968	120	0.015625
4	Annoy-trees-5	309.9208600845337	0.5617087000000254	0.5625	5	0.5931	0.020348200000000816	400	0.03125
5	Annoy-trees-5	308.70807970886233	0.5319253000000117	0.53125	5	0.6176	0.019334700000001703	450	0.015625
6	Annoy-trees-5	306.7238708740234	0.5776298000000111	0.578125	5	0.6651	0.0217049999999972	550	0.03125
7	Annoy-trees-5	305.8552098495483	0.5567100000000096	0.5625	5	0.6886	0.023980399999999236	600	0.015625
8	Annoy-trees-10	304.17252450103757	0.7173854999999776	0.71875	10	0.7355	0.025715400000024147	800	0.015625
9	Annoy-trees-10	303.6800170227051	0.7892573999999968	0.796875	10	0.7532	0.026346899999992957	900	0.015625
10	Annoy-trees-10	302.4009445327759	0.7041290999999887	0.71875	10	0.8012	0.03007949999999937	1100	0.03125
11	Annoy-trees-10	301.9888109649658	0.7260960000000125	0.71875	10	0.8192	0.031947699999989254	1200	0.03125
12	Annoy-trees-30	300.37475487213135	1.3192339000000004	1.296875	30	0.8928	0.04756240000000389	2400	0.046875
13	Annoy-trees-30	300.1595338531494	1.358943399999987	1.359375	30	0.9058	0.05122620000000211	2700	0.0625
14	Annoy-trees-30	299.84221732177735	1.367029500000001	1.375	30	0.9269	0.05632810000000177	3300	0.046875
15	Annoy-trees-30	299.7712134735107	1.3577178000000174	1.359375	30	0.9327	0.059836499999988746	3600	0.0625
