algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks
Annoy-trees-5,33.105840959000034,0.8073608979999563,0.122923,281.46097067335853,5,100,33.105997,0.8074819999999363
Annoy-trees-5,33.105840959000034,1.6416068089999953,0.283496,254.69513629417037,5,500,33.105997,1.6416319999999587
Annoy-trees-5,33.105840959000034,2.5617188770000894,0.400215,247.89759675188827,5,1000,33.105997,2.561745000000087
Annoy-trees-5,33.105840959000034,3.467119916999991,0.477088,244.8865263094635,5,1500,33.105997,3.467147999999952
Annoy-trees-5,33.105840959000034,4.321337270000072,0.532792,243.12903553240966,5,2000,33.105997,4.321369000000004
Annoy-trees-5,33.105840959000034,5.99575341000002,0.613142,241.07027249745178,5,3000,33.105997,5.995780999999965
Annoy-trees-5,33.105840959000034,7.848894882999957,0.669048,239.88779079563903,5,4000,33.105997,7.848922000000016
Annoy-trees-5,33.105840959000034,9.338766986999872,0.710996,239.11334525462343,5,5000,33.105997,9.338795000000118
Annoy-trees-5,33.105840959000034,10.856072892999919,0.743594,238.56530455168152,5,6000,33.105997,10.856103000000076
Annoy-trees-5,33.105840959000034,12.881523369999968,0.770058,238.15636908153533,5,7000,33.105997,12.88154899999995
Annoy-trees-5,33.105840959000034,13.979995239000118,0.791591,237.84182480673218,5,8000,33.105997,13.980027999999947
Annoy-trees-5,33.105840959000034,15.669964965999952,0.81001,237.58572603561402,5,9000,33.105997,15.669992000000093
Annoy-trees-5,33.105840959000034,17.31730262699989,0.825531,237.38069313324738,5,10000,33.105997,17.317330000000084
Annoy-trees-5,33.105840959000034,18.92889782599991,0.839,237.20874004483034,5,11000,33.105997,18.928931000000148
Annoy-trees-5,33.105840959000034,21.927655535999975,0.861264,236.93906087574004,5,13000,33.105997,21.927691000000095
Annoy-trees-5,33.105840959000034,24.947503638999933,0.87881,236.7373460859833,5,15000,33.105997,24.947534000000132
Annoy-trees-5,33.105840959000034,29.27821631400002,0.899223,236.51790572973633,5,18000,33.105997,29.278254999999945
Annoy-trees-5,33.105840959000034,34.20658325699992,0.91448,236.3603108419876,5,21000,33.105997,34.20660900000007
Annoy-trees-10,44.897017389999974,0.9191526500001146,0.134717,279.3682667262248,10,100,44.897064,0.9191760000001068
Annoy-trees-10,44.897017389999974,1.720051594999859,0.308373,253.08921292448045,10,500,44.897064,1.7200800000000527
Annoy-trees-10,44.897017389999974,2.653334081000139,0.426956,246.6951300830803,10,1000,44.897064,2.6533620000000155
Annoy-trees-10,44.897017389999974,3.531158982999841,0.507482,243.82104607164,10,1500,44.897064,3.531185999999934
Annoy-trees-10,44.897017389999974,4.329391452999971,0.566701,242.14715974425124,10,2000,44.897064,4.329424000000017
Annoy-trees-10,44.897017389999974,6.166331507999985,0.648071,240.26602047093962,10,3000,44.897064,6.166368000000148
Annoy-trees-10,44.897017389999974,7.588106368000126,0.703239,239.20460376794435,10,4000,44.897064,7.5881319999998595
Annoy-trees-10,44.897017389999974,9.116208310000047,0.743972,238.5201887302475,10,5000,44.897064,9.116234000000077
Annoy-trees-10,44.897017389999974,10.730425092000132,0.775307,238.03957092142485,10,6000,44.897064,10.730460999999877
Annoy-trees-10,44.897017389999974,12.359905630999947,0.80033,237.68543670607758,10,7000,44.897064,12.359934000000067
Annoy-trees-10,44.897017389999974,13.927750467999886,0.820746,237.4139857141266,10,8000,44.897064,13.92777799999999
Annoy-trees-10,44.897017389999974,15.161840987999994,0.837705,237.19924175467682,10,9000,44.897064,15.16187200000013
Annoy-trees-10,44.897017389999974,16.686436703000027,0.852343,237.02113102169037,10,10000,44.897064,16.686465
Annoy-trees-10,44.897017389999974,18.136200677000033,0.864517,236.87871230402374,10,11000,44.897064,18.13622600000008
Annoy-trees-10,44.897017389999974,21.52922878900017,0.884413,236.65605905324554,10,13000,44.897064,21.529258000000027
Annoy-trees-10,44.897017389999974,24.309526690999974,0.900077,236.48895937740326,10,15000,44.897064,24.309563000000026
Annoy-trees-10,44.897017389999974,28.571794145000013,0.917726,236.3094873214798,10,18000,44.897064,28.571819000000005
Annoy-trees-10,44.897017389999974,32.88120611399995,0.931137,236.1798974041214,10,21000,44.897064,32.88124199999993
Annoy-trees-20,69.45079985699999,1.1148149990001457,0.144866,277.7244814371367,20,100,69.45083999999997,1.1148379999999634
Annoy-trees-20,69.45079985699999,1.8778286869999192,0.332039,251.66925859724046,20,500,69.45083999999997,1.8778559999998379
Annoy-trees-20,69.45079985699999,2.783324026999935,0.454481,245.61166368639374,20,1000,69.45083999999997,2.7833529999998063
Annoy-trees-20,69.45079985699999,3.6803111340000214,0.533734,242.98170369460297,20,1500,69.45083999999997,3.6803390000000036
Annoy-trees-20,69.45079985699999,4.527325770999823,0.591103,241.46072429832077,20,2000,69.45083999999997,4.527354999999943
Annoy-trees-20,69.45079985699999,6.177874491000011,0.673132,239.7078312013626,20,3000,69.45083999999997,6.177910999999995
Annoy-trees-20,69.45079985699999,7.59929149300001,0.727543,238.74614643643187,20,4000,69.45083999999997,7.599325000000135
Annoy-trees-20,69.45079985699999,8.965391839999938,0.766731,238.13085915175628,20,5000,69.45083999999997,8.965422999999873
Annoy-trees-20,69.45079985699999,10.482678080000142,0.796833,237.70021600855256,20,6000,69.45083999999997,10.482711999999992
Annoy-trees-20,69.45079985699999,11.981999030999987,0.820115,237.3887213864441,20,7000,69.45083999999997,11.982029000000011
Annoy-trees-20,69.45079985699999,13.206438231999982,0.839459,237.14842172659303,20,8000,69.45083999999997,13.206474000000071
Annoy-trees-20,69.45079985699999,14.920045461999962,0.855124,236.96121847259522,20,9000,69.45083999999997,14.920078999999987
Annoy-trees-20,69.45079985699999,16.209693456999958,0.868378,236.81088313876342,20,10000,69.45083999999997,16.20972400000005
Annoy-trees-20,69.45079985699999,17.46661911199999,0.879779,236.68482997587586,20,11000,69.45083999999997,17.466654000000062
Annoy-trees-20,69.45079985699999,20.54671096700008,0.898272,236.48893116992951,20,13000,69.45083999999997,20.546740999999884
Annoy-trees-20,69.45079985699999,22.826144440999997,0.912317,236.3474352337494,20,15000,69.45083999999997,22.826184999999896
Annoy-trees-20,69.45079985699999,26.986712548000014,0.928169,236.19730697270967,20,18000,69.45083999999997,26.986738999999943
Annoy-trees-20,69.45079985699999,30.897987978999936,0.939851,236.0908979087372,20,21000,69.45083999999997,30.89801699999998
Annoy-trees-40,118.63558916600005,1.22079652299999,0.155598,275.99189270483396,40,100,118.63562700000011,1.2208180000000084
Annoy-trees-40,118.63558916600005,2.1844317519999095,0.352543,250.47409817549132,40,500,118.63562700000011,2.1844649999998182
Annoy-trees-40,118.63558916600005,3.092401197000072,0.478506,244.7199803032341,40,1000,118.63562700000011,3.092429999999922
Annoy-trees-40,118.63558916600005,3.9954265500000474,0.558284,242.2630360788307,40,1500,118.63562700000011,3.9954589999999826
Annoy-trees-40,118.63558916600005,5.053036858000041,0.614798,240.86750342454147,40,2000,118.63562700000011,5.053065999999944
Annoy-trees-40,118.63558916600005,6.296268991000034,0.692206,239.30284912579344,40,3000,118.63562700000011,6.296297999999979
Annoy-trees-40,118.63558916600005,7.762847648999923,0.743998,238.4335085279465,40,4000,118.63562700000011,7.762875999999778
Annoy-trees-40,118.63558916600005,9.273549471000024,0.78192,237.87414529950715,40,5000,118.63562700000011,9.273579000000154
Annoy-trees-40,118.63558916600005,10.868673882999929,0.810202,237.49210931202697,40,6000,118.63562700000011,10.868701000000101
Annoy-trees-40,118.63558916600005,11.992067758999838,0.833072,237.20429839115144,40,7000,118.63562700000011,11.992093999999952
Annoy-trees-40,118.63558916600005,13.369277756999963,0.851111,236.98941403155519,40,8000,118.63562700000011,13.369305000000168
Annoy-trees-40,118.63558916600005,14.839063690999865,0.866245,236.8166749254074,40,9000,118.63562700000011,14.839089000000058
Annoy-trees-40,118.63558916600005,16.25466839899991,0.878483,236.6824480001526,40,10000,118.63562700000011,16.25469699999985
Annoy-trees-40,118.63558916600005,17.42172689500012,0.888898,236.57348277220154,40,11000,118.63562700000011,17.42175700000007
Annoy-trees-40,118.63558916600005,20.245107276,0.905831,236.4019576133957,40,13000,118.63562700000011,20.24513799999977
Annoy-trees-40,118.63558916600005,22.59012186500013,0.918856,236.27575048378753,40,15000,118.63562700000011,22.590153999999984
Annoy-trees-40,118.63558916600005,26.48770403100025,0.933529,236.1423284855957,40,18000,118.63562700000011,26.487743000000137
Annoy-trees-40,118.63558916600005,30.396207927999967,0.944254,236.0474031132202,40,21000,118.63562700000011,30.396238999999696
