algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks
Annoy-trees-5,37.697019739,0.9776223819999927,0.122923,281.46097067335853,5,100,37.697176999999996,0.9777660000000026
Annoy-trees-5,37.697019739,1.9328514439999935,0.283496,254.69513629417037,5,500,37.697176999999996,1.9328819999999922
Annoy-trees-5,37.697019739,3.017853216000006,0.400215,247.89759675188827,5,1000,37.697176999999996,3.0178860000000043
Annoy-trees-5,37.697019739,4.001526911000013,0.477088,244.8865263094635,5,1500,37.697176999999996,4.001559
Annoy-trees-5,37.697019739,5.4333566450000035,0.532792,243.12903553240966,5,2000,37.697176999999996,5.433385000000001
Annoy-trees-5,37.697019739,6.889054908999995,0.613142,241.07027249745178,5,3000,37.697176999999996,6.889089999999996
Annoy-trees-5,37.697019739,8.855347589000004,0.669048,239.88779079563903,5,4000,37.697176999999996,8.855377000000004
Annoy-trees-5,37.697019739,11.293595353,0.710996,239.11334525462343,5,5000,37.697176999999996,11.293623999999994
Annoy-trees-5,37.697019739,13.435216071000013,0.743594,238.56530455168152,5,6000,37.697176999999996,13.435246000000006
Annoy-trees-5,37.697019739,16.108186770999993,0.770058,238.15636908153533,5,7000,37.697176999999996,16.108214000000004
Annoy-trees-5,37.697019739,16.899114990000015,0.791591,237.84182480673218,5,8000,37.697176999999996,16.899144000000007
Annoy-trees-5,37.697019739,17.93871160399999,0.81001,237.58572603561402,5,9000,37.697176999999996,17.938739999999996
Annoy-trees-5,37.697019739,19.84025938900001,0.825531,237.38069313324738,5,10000,37.697176999999996,19.840294999999998
Annoy-trees-5,37.697019739,22.103855804000005,0.839,237.20874004483034,5,11000,37.697176999999996,22.10388500000002
Annoy-trees-10,54.10260498299999,0.9927080770000316,0.134717,279.3682667262248,10,100,54.10266300000001,0.9927319999999895
Annoy-trees-10,54.10260498299999,2.002033965999999,0.308373,253.08921292448045,10,500,54.10266300000001,2.002063000000021
Annoy-trees-10,54.10260498299999,3.088700401999972,0.426956,246.6951300830803,10,1000,54.10266300000001,3.0887349999999856
Annoy-trees-10,54.10260498299999,4.0140851210000505,0.507482,243.82104607164,10,1500,54.10266300000001,4.014111000000014
Annoy-trees-10,54.10260498299999,4.823008423000033,0.566701,242.14715974425124,10,2000,54.10266300000001,4.823035000000004
Annoy-trees-10,54.10260498299999,6.753950352000004,0.648071,240.26602047093962,10,3000,54.10266300000001,6.753976000000023
Annoy-trees-10,54.10260498299999,8.505484305000039,0.703239,239.20460376794435,10,4000,54.10266300000001,8.50551200000001
Annoy-trees-10,54.10260498299999,10.421860493999986,0.743972,238.5201887302475,10,5000,54.10266300000001,10.421889000000021
Annoy-trees-10,54.10260498299999,12.952279900000008,0.775307,238.03957092142485,10,6000,54.10266300000001,12.952309000000014
Annoy-trees-10,54.10260498299999,14.425032627000007,0.80033,237.68543670607758,10,7000,54.10266300000001,14.425060999999971
Annoy-trees-10,54.10260498299999,16.251752529999976,0.820746,237.4139857141266,10,8000,54.10266300000001,16.25178199999999
