algorithm,constructionTime,searchTime,recall,avgDistance,constructionClocks,searchClocks
Annoy-trees-5,35.925213361,1.7853086229999917,0.283496,254.69513629417037,35.925349000000004,1.7854169999999954
Annoy-trees-15,62.389300217,4.010613428999989,0.522061,243.33053702445602,62.38934599999999,4.010643999999985
Annoy-trees-30,102.71378096700002,7.045646438999995,0.684114,239.46780847164536,102.71383899999998,7.045667999999978
Annoy-trees-60,185.83359082200002,11.55356832800004,0.81582,237.40215683092498,185.83363100000003,11.553588999999988
Annoy-trees-80,244.17912214200004,14.592285040000093,0.857391,236.8932823667984,244.179166,14.59230500000001
HNSW-M-5,633.889558266,1.161902234000081,0.362857,251.35897827148438,633.889681,1.1621399999999085
HNSW-M-8,856.3124313319997,1.4382503929996346,0.482229,244.7732696533203,856.3124820000003,1.4382970000001478
HNSW-M-15,1347.6649782549998,2.0843196880000505,0.624448,240.39576721191406,1347.6650290000002,2.0843599999998332
HNSW-M-30,2519.088754243,3.1522851899999296,0.766756,237.85826110839844,2519.0887940000002,3.1523299999998926
HNSW-M-38,3269.5673746009998,3.626972136000404,0.806364,237.35047912597656,3269.5674119999994,3.6270110000004934
vp-Tree-10k-mL2,17.503052563000892,15.757887440000559,0.367263,252.0041046142578,17.503303000001324,15.757993999999599
vp-Tree-10k-mL10,17.503052563000892,76.9462630830003,0.654136,241.95765686035156,17.503303000001324,76.94629600000007
vp-Tree-10k-mL20,17.503052563000892,151.83946029100116,0.805108,238.83303833007812,17.503303000001324,151.83950500000174
vp-Tree-10k-mL25,17.503052563000892,189.03284477600027,0.844389,238.17137145996094,17.503303000001324,189.03287799999998
vp-Tree-10k-mL30,17.503052563000892,225.43696456499856,0.86806,237.83203125,17.503303000001324,225.43699800000104
linear force,0.0949719410000398,515.1839411830006,0.999885,235.6289062431465,0.09522300000026007,515.1841760000007
k-D,30.08233572500103,4317.186448492001,0.999893,235.6289062431466,30.08259800000087,4347.2693739999995
autotuned-flann-build005,463.1031295979992,1.4063826900019194,0.183108,277.67445812998824,463.1032439999981,1.4064950000029057
autotuned-flann-build005,445.64204409599915,1.390335475000029,0.181103,278.17408219757107,445.64207499999975,1.390359000000899
autotuned-flann-build005,454.9878760950014,2.684291024997947,0.246029,260.7014770134318,454.9879159999982,2.6843150000022433
autotuned-flann-build005,753.907078688997,6.013784566999675,0.429353,246.93848782409918,753.9071180000028,6.01382399999784
lsh-l15k4t15,132.35443319600017,44.897428288000356,0.545379,0,132.35552400000006,44.897551999999905
lsh-l15k4t30,132.35443319600017,68.64059043299994,0.667921,0,132.35552400000006,68.64063100000021
lsh-l15k4t45,132.35443319600017,86.93474398299986,0.73616,0,132.35552400000006,86.93478600000026
lsh-l15k4t75,132.35443319600017,114.13957386999982,0.81246,0,132.35552400000006,114.13962100000026
