	algorithm	avgDistance	constructionTime	recall	searchTime
0	vp-Tree-10k-mL7	244.68768310546875	27.453125	0.557588	59.75
1	vp-Tree-10k-mL10	242.17062377929688	27.453125	0.645821	85.25
2	vp-Tree-10k-mL15	240.823974609375	27.453125	0.712345	126.109375
3	vp-Tree-10k-mL20	238.93557739257812	27.453125	0.801438	166.515625
4	HNSW-M-2	293.195068359375	632.03125	0.082763	0.84375
5	HNSW-M-5	251.70028686523438	1084.046875	0.358103	1.1875
6	HNSW-M-8	245.2603759765625	1433.546875	0.468007	1.515625
7	HNSW-M-15	241.29959106445312	2102.25	0.58257	1.75
8	HNSW-M-20	240.26596069335938	2471.625	0.624719	2.75
9	Annoy-trees-5	254.74766388769532	61.8125	0.282947	3.125
10	Annoy-trees-15	243.27052499092483	116.21875	0.524623	6.890625
11	Annoy-trees-30	239.43878964619827	194.984375	0.685665	11.875
12	Annoy-trees-45	238.06319372212218	279.609375	0.768016	16.734375
13	Annoy-trees-60	237.3798568608017	360.40625	0.817185	20.828125
14	mrpt-0.4mt10	246.44139099121094	85.046875	0.426712	260.453125
15	mrpt-0.7mt100	239.79742431640625	310.96875	0.6787	252.71875
16	mrpt-0.8mt200	237.5701446533203	573.40625	0.803969	231.984375
17	mrpt-0.9mt400	236.29934692382812	1033.234375	0.910409	304.78125
18	HNSW-M-40	239.10940551757812	2906.765625	0.680615	2.796875
19	Annoy-trees-80	236.87758096266174	473.96875	0.85857	26.84375
