	algorithm	avgDistance	constructionTime	recall	searchTime
0	brute force	298.91197814569523	0.015625	1.0	0.09375
1	k-D	298.9119781456952	0.875	1.0	0.328125
2	ball-tree	298.9119781456952	0.34375	1.0	0.28125
3	Annoy	301.28645677795413	0.8125	0.8488	0.03125
4	mrpt	299.834716796875	6.125	0.9172	0.0625
5	HNSW	302.7685852050781	5.453125	0.7672	0.0
6	vp-Tree	298.9119873046875	0.0625	1.0	0.09375
7	linear-flann	298.9119781456952	13.78125	1.0	0.125
8	kmeans-flann	313.69032894343593	0.34375	0.5712	0.046875
9	kdtree-flann	339.16608169540183	0.734375	0.3592	0.015625
