	algorithm	constructionTime	recall	searchTime
0	brute force	0.003297700000075565	1.0	0.0920405
1	k-D	0.5464300000001003	1.0	0.2938065999999253
2	ball-tree	0.3161522000000332	1.0	0.2654297999999926
3	Annoy-trees-8	0.6070337999999538	0.6332	0.02006589999996322
4	Annoy-trees-8	0.6070337999999538	0.6951	0.02265239999996993
5	Annoy-trees-8	0.6070337999999538	0.7376	0.025258799999846815
6	Annoy-trees-8	0.6070337999999538	0.7826	0.027900699999918288
7	Annoy-trees-8	0.6070337999999538	0.8138	0.030564099999992322
8	Annoy-trees-8	0.6070337999999538	0.8408	0.032519600000114224
9	mrpt	0.16849070000012034	0.6002	0.018104300000004514
10	mrpt	0.18336859999999433	0.6583	0.020374500000116313
11	mrpt	0.21313390000000254	0.7331	0.03143269999986842
12	mrpt	0.2639068999999381	0.8169	0.040376
13	HNSW-M-3	0.8956344999999146	0.6316	0.004464699999971344
14	HNSW-M-3	0.8956344999999146	0.7698	0.004982599999948434
15	HNSW-M-3	0.8956344999999146	0.8261	0.005459100000052786
16	HNSW-M-3	0.8956344999999146	0.8608	0.005675500000052125
17	HNSW-M-3	0.8956344999999146	0.9113	0.006558599999834769
18	vp-Tree	0.1043494999998984	1.0	0.0933604
19	kmeans-flann	0.3570305999999164	0.5697	0.04415799999992487
20	kmeans-flann	0.3570305999999164	0.5697	0.04360199999996439
21	kmeans-flann	0.3570305999999164	0.5697	0.043820999999979904
22	kmeans-flann	0.3570305999999164	0.6653	0.062212699999918186
23	kmeans-flann	0.3570305999999164	0.7161	0.09037979999993695
24	kdtree-flann	0.05038800000011179	0.56	0.021934699999974328
25	kdtree-flann	0.10121249999997417	0.6271	0.024255100000118546
26	kdtree-flann	0.15172419999998965	0.6483	0.02579240000000027
27	kdtree-flann	0.2039535999999771	0.6647	0.02748399999995854
28	kdtree-flann	0.4003632000001289	0.6988	0.03135910000014519
29	kdtree-flann	0.8068545000000995	0.7352	0.036914500000193584
